C1,C2,C3,C4,C5,C6,C7,I13,H12,H11,I14,I15,B8,B9,B10,I16,I17,I18,O19
0,0.13,190.992713,26.54,0,0,0,0,1,0,0,2,0,Concrete/ciment,1,0,0,1,1
0,0.31,5.8649304,86.23,0,0,2,0,1,0,2,0,1,Concrete/ciment,0,0,0,0,0
0,0.31,5.8649304,86.23,0,0,2,0,1,0,2,0,0,Concrete/ciment,1,0,0,0,1
0,0.08,239.2660377,72.89,0,0,2,0,1,0,0,0,1,Concrete/ciment,1,0,0,1,0
0,0.08,239.2660377,72.89,0,0,2,0,1,0,0,0,1,Concrete/ciment,1,0,1,1,1
0,0.01,818.4396,8.66,0,0,2,1,3,0,2,1,1,Concrete/ciment,1,0,1,1,1
0,0.01,818.4396,8.66,0,0,2,1,3,0,2,1,1,Concrete/ciment,1,0,1,1,1
0,0.01,818.4396,8.66,0,0,2,1,3,0,2,1,1,Concrete/ciment,1,0,1,1,1
0,0.01,818.4396,8.66,0,0,2,1,3,0,2,1,1,Concrete/ciment,1,0,1,1,1
0,0.08,97.92267,13.45,0,1,2,0,1,0,1,3,1,Concrete/ciment,1,0,1,1,1
0,0.08,97.92267,13.45,0,1,2,0,1,0,1,3,1,Concrete/ciment,1,0,0,1,1
0,0.05,86.056685,8.63,0,1,2,0,1,0,1,0,1,Concrete/ciment,1,0,0,0,1
0,0.05,86.056685,8.63,0,1,2,0,1,0,1,0,1,Concrete/ciment,1,0,0,0,1
0,0.4,124.5465048,20.89,2,0,2,0,1,0,0,0,1,Concrete/ciment,1,1,0,0,1
0,0.12,243.4951246,16.04,2,1,2,0,1,1,0,0,0,Concrete/ciment,1,0,1,0,1
0,0.12,243.4951246,16.04,2,1,2,0,1,1,0,0,0,Concrete/ciment,1,0,1,0,1
0,0.12,243.4951246,16.04,2,1,2,0,1,1,0,0,0,Concrete/ciment,1,0,1,0,1
2,0.17,74.919207,37.41,0,0,2,0,1,0,1,0,1,Concrete/ciment,1,1,0,1,1
2,0.17,74.919207,37.41,0,0,2,0,1,0,1,0,1,Concrete/ciment,0,1,0,1,1
0,0.22,125.692458,19.25,2,2,0,0,1,0,0,3,1,Concrete/ciment,1,1,1,0,1
0,0.22,125.692458,19.25,2,2,0,0,1,0,0,3,1,Concrete/ciment,1,1,0,0,1
0,0.25,139.7733296,11.51,2,1,0,0,1,0,0,3,1,Concrete/ciment,1,1,1,1,1
2,0.09,338.339119,26.55,0,2,1,0,1,0,3,0,1,Concrete/ciment,1,1,1,1,1
2,0.09,338.339119,26.55,0,2,1,0,1,0,3,0,1,Concrete/ciment,1,1,1,1,1
2,0.09,338.339119,26.55,0,2,1,0,1,0,3,0,1,Concrete/ciment,1,1,1,1,1
0,0.03,2798.283075,4.18,0,0,2,1,2,0,0,0,1,Caisson,0,0,0,3,1
0,0.03,2798.283075,4.18,0,0,2,1,2,0,0,0,1,Caisson,0,0,0,3,1
0,0.13,903.104776,6.24,0,0,0,0,1,0,2,0,1,Concrete/ciment,1,1,0,0,1
0,0.13,903.104776,6.24,0,0,0,0,1,0,2,0,1,Concrete/ciment,1,1,0,0,1
0,0.13,903.104776,6.24,0,0,0,0,1,0,2,0,1,Concrete/ciment,1,1,0,0,1
1,0.01,2.0928186,127.61,1,0,2,1,2,1,2,3,1,Timber piles,1,1,0,1,0
